name,amount,unit,location,quantity_approx,notes,code,category,date,expiration,status
Proteinase K,4,doses,Freezer 2 shelf B,~4 doses,10 mg/mL aliquots,PRK-2001-A,Enzyme,2024-02-10,,low
Lysis buffer,200,mL,Fridge 1 shelf A,~200 mL,,LYS-1002-B,Molecular Reagent,2024-01-15,,ok
Ethanol 70%,2,bottles,Cabinet 3,2 bottles,,ETH-3003-C,Solvent,2024-03-01,,ok
EDTA,50,mL,Fridge 1 shelf B,~50 mL,see also: Ethylenediaminetetraacetic acid,EDT-1004-B,Buffer,2024-01-20,,ok
Nuclease-free water,500,mL,Fridge 1 shelf C,~500 mL,,NFW-1005-C,Molecular Reagent,2024-02-01,,ok
2X master mix,30,reactions,Freezer 1 shelf A,~30 reactions,Taq polymerase mix for PCR,MMX-1006-A,Enzyme,2024-02-15,,ok
Forward primer,20,µM,Freezer 2 shelf A,~20 µM stock,store at -20 C,FWP-2007-A,Oligo,2024-03-05,,ok
Reverse primer,20,µM,Freezer 2 shelf A,~20 µM stock,store at -20 C,RVP-2008-A,Oligo,2024-03-05,,ok
Template DNA,10,aliquots,Freezer 2 shelf C,~10 aliquots,genomic/plasmid template,TPL-2009-C,Nucleic Acid,2024-02-20,,ok
Competent cells,12,aliquots,Freezer -80 box 4,~12 aliquots,DH5-alpha; keep on ice,CMP-8010-D,Cells,2024-01-10,,critical
Plasmid DNA,15,aliquots,Freezer 2 shelf C,~15 aliquots,,PLM-2011-C,Nucleic Acid,2024-02-22,,ok
SOC medium,100,mL,Fridge 1 shelf D,~100 mL,recovery medium,SOC-1012-D,Media,2024-03-10,,ok
LB agar,20,plates,Fridge 2 shelf A,~20 plates,with antibiotic,LBA-1013-A,Media,2024-02-28,,expiring
Resuspension buffer,100,mL,Fridge 1 shelf A,~100 mL,P1; contains RNase A,RSB-1014-A,Buffer,2024-01-25,,ok
Neutralization buffer,100,mL,Fridge 1 shelf A,~100 mL,N3,NTB-1015-A,Buffer,2024-01-25,,ok
Elution buffer,100,mL,Cabinet 3,~100 mL,EB; 10 mM Tris-Cl,ELB-3016-C,Buffer,2024-02-05,,ok
